QUANTITYORDERED,PRICEEACH,SALES,STATUS,MONTH_ID,YEAR_ID,PRODUCTLINE,CUSTOMERNAME,CITY,COUNTRY,TERRITORY,DEALSIZE
30,95.7,2871,Shipped,2,2003,Motorcycles,Land of Toys Inc.,NYC,USA,NA,Small
34,81.35,2765.9,Shipped,5,2003,Motorcycles,Reims Collectables,Reims,France,EMEA,Small
41,94.74,3884.34,Shipped,7,2003,Motorcycles,Lyon Souveniers,Paris,France,EMEA,Medium
45,83.26,3746.7,Shipped,8,2003,Motorcycles,Toys4GrownUps.com,Pasadena,USA,NA,Medium
49,100,5205.27,Shipped,10,2003,Motorcycles,Corporate Gift Ideas Co.,San Francisco,USA,NA,Medium
36,96.66,3479.76,Shipped,10,2003,Motorcycles,Technics Stores Inc.,Burlingame,USA,NA,Medium
29,86.13,2497.77,Shipped,11,2003,Motorcycles,Daedalus Designs Imports,Lille,France,EMEA,Small
48,100,5512.32,Shipped,11,2003,Motorcycles,Herkku Gifts,Bergen,Norway,EMEA,Medium
22,98.57,2168.54,Shipped,12,2003,Motorcycles,Mini Wheels Co.,San Francisco,USA,NA,Small
41,100,4708.44,Shipped,1,2004,Motorcycles,Auto Canal Petit,Paris,France,EMEA,Medium
37,100,3965.66,Shipped,2,2004,Motorcycles,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium
23,100,2333.12,Shipped,4,2004,Motorcycles,Vitachrome Inc.,NYC,USA,NA,Small
28,100,3188.64,Shipped,5,2004,Motorcycles,Tekni Collectables Inc.,Newark,USA,NA,Medium
34,100,3676.76,Shipped,6,2004,Motorcycles,Gift Depot Inc.,Bridgewater,USA,NA,Medium
45,92.83,4177.35,Shipped,7,2004,Motorcycles,La Rochelle Gifts,Nantes,France,EMEA,Medium
36,100,4099.68,Shipped,8,2004,Motorcycles,Marta's Replicas Co.,Cambridge,USA,NA,Medium
23,100,2597.39,Shipped,9,2004,Motorcycles,"Toys of Finland, Co.",Helsinki,Finland,EMEA,Small
41,100,4394.38,Shipped,10,2004,Motorcycles,Baane Mini Imports,Stavern,Norway,EMEA,Medium
46,94.74,4358.04,Shipped,11,2004,Motorcycles,Diecast Classics Inc.,Allentown,USA,NA,Medium
